2021-06-01 21:54:52.337 - [ INFO  ] [ com.lucky.kali.business.BusinessApplication : 55 ] - Starting BusinessApplication using Java 1.8.0_281 on ElliotsMacBook-Pro.local with PID 21002 (/Volumes/Application/Java/IDEA-WorkSpace/demo/SpringCloudFormework/lk-business/target/classes started by elliot in /Volumes/Application/Java/IDEA-WorkSpace/demo/SpringCloudFormework)
2021-06-01 21:54:52.343 - [ DEBUG ] [ com.lucky.kali.business.BusinessApplication : 56 ] - Running with Spring Boot v2.5.0, Spring v5.3.7
2021-06-01 21:54:52.343 - [ INFO  ] [ com.lucky.kali.business.BusinessApplication : 667 ] - The following profiles are active: local
2021-06-01 21:54:53.527 - [ WARN  ] [ org.mybatis.spring.mapper.ClassPathMapperScanner : 44 ] - No MyBatis mapper was found in '[com/lucky/kali/business/mapper]' package. Please check your configuration.
2021-06-01 21:54:54.212 - [ INFO  ] [ org.apache.coyote.http11.Http11NioProtocol : 173 ] - Initializing ProtocolHandler ["http-nio-7002"]
2021-06-01 21:54:54.214 - [ INFO  ] [ org.apache.catalina.core.StandardService : 173 ] - Starting service [Tomcat]
2021-06-01 21:54:54.214 - [ INFO  ] [ org.apache.catalina.core.StandardEngine : 173 ] - Starting Servlet engine: [Apache Tomcat/9.0.46]
2021-06-01 21:54:54.480 - [ INFO  ] [ o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] : 173 ] - Initializing Spring embedded WebApplicationContext
2021-06-01 21:54:55.204 - [ INFO  ] [ c.a.d.s.b.a.DruidDataSourceAutoConfigure : 56 ] - Init DruidDataSource
2021-06-01 21:54:55.558 - [ INFO  ] [ com.alibaba.druid.pool.DruidDataSource : 990 ] - {dataSource-1} inited
2021-06-01 21:54:56.146 - [ INFO  ] [ org.apache.coyote.http11.Http11NioProtocol : 173 ] - Starting ProtocolHandler ["http-nio-7002"]
2021-06-01 21:54:56.196 - [ INFO  ] [ c.a.cloud.nacos.registry.NacosServiceRegistry : 75 ] - nacos registry, DEFAULT_GROUP lk-business 192.168.1.47:7002 register finished
2021-06-01 21:54:56.213 - [ INFO  ] [ com.lucky.kali.business.BusinessApplication : 61 ] - Started BusinessApplication in 5.141 seconds (JVM running for 11.255)
2021-06-01 21:54:59.911 - [ INFO  ] [ o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] : 173 ] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-06-01 22:52:17.449 - [ INFO  ] [ com.lucky.kali.business.BusinessApplication : 55 ] - Starting BusinessApplication using Java 1.8.0_281 on ElliotsMacBook-Pro.local with PID 49601 (/Volumes/Application/Java/IDEA-WorkSpace/demo/SpringCloudFormework/lk-business/target/classes started by elliot in /Volumes/Application/Java/IDEA-WorkSpace/demo/SpringCloudFormework)
2021-06-01 22:52:17.452 - [ DEBUG ] [ com.lucky.kali.business.BusinessApplication : 56 ] - Running with Spring Boot v2.5.0, Spring v5.3.7
2021-06-01 22:52:17.453 - [ INFO  ] [ com.lucky.kali.business.BusinessApplication : 667 ] - The following profiles are active: local
2021-06-01 22:52:18.349 - [ WARN  ] [ org.mybatis.spring.mapper.ClassPathMapperScanner : 44 ] - No MyBatis mapper was found in '[com/lucky/kali/business/mapper]' package. Please check your configuration.
2021-06-01 22:52:18.725 - [ INFO  ] [ org.apache.coyote.http11.Http11NioProtocol : 173 ] - Initializing ProtocolHandler ["http-nio-7002"]
2021-06-01 22:52:18.726 - [ INFO  ] [ org.apache.catalina.core.StandardService : 173 ] - Starting service [Tomcat]
2021-06-01 22:52:18.727 - [ INFO  ] [ org.apache.catalina.core.StandardEngine : 173 ] - Starting Servlet engine: [Apache Tomcat/9.0.46]
2021-06-01 22:52:18.808 - [ INFO  ] [ o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] : 173 ] - Initializing Spring embedded WebApplicationContext
2021-06-01 22:52:19.274 - [ INFO  ] [ c.a.d.s.b.a.DruidDataSourceAutoConfigure : 56 ] - Init DruidDataSource
2021-06-01 22:52:19.659 - [ INFO  ] [ com.alibaba.druid.pool.DruidDataSource : 990 ] - {dataSource-1} inited
2021-06-01 22:52:20.009 - [ INFO  ] [ org.apache.coyote.http11.Http11NioProtocol : 173 ] - Starting ProtocolHandler ["http-nio-7002"]
2021-06-01 22:52:20.055 - [ INFO  ] [ c.a.cloud.nacos.registry.NacosServiceRegistry : 75 ] - nacos registry, DEFAULT_GROUP lk-business 192.168.1.47:7002 register finished
2021-06-01 22:52:20.073 - [ INFO  ] [ com.lucky.kali.business.BusinessApplication : 61 ] - Started BusinessApplication in 3.19 seconds (JVM running for 3.949)
2021-06-01 22:52:28.826 - [ INFO  ] [ o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] : 173 ] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-06-01 22:57:31.265 - [ INFO  ] [ com.lucky.kali.business.BusinessApplication : 55 ] - Starting BusinessApplication using Java 1.8.0_281 on ElliotsMacBook-Pro.local with PID 52212 (/Volumes/Application/Java/IDEA-WorkSpace/demo/SpringCloudFormework/lk-business/target/classes started by elliot in /Volumes/Application/Java/IDEA-WorkSpace/demo/SpringCloudFormework)
2021-06-01 22:57:31.268 - [ DEBUG ] [ com.lucky.kali.business.BusinessApplication : 56 ] - Running with Spring Boot v2.5.0, Spring v5.3.7
2021-06-01 22:57:31.268 - [ INFO  ] [ com.lucky.kali.business.BusinessApplication : 667 ] - The following profiles are active: local
2021-06-01 22:57:31.960 - [ WARN  ] [ org.mybatis.spring.mapper.ClassPathMapperScanner : 44 ] - No MyBatis mapper was found in '[com/lucky/kali/business/mapper]' package. Please check your configuration.
2021-06-01 22:57:32.280 - [ INFO  ] [ org.apache.coyote.http11.Http11NioProtocol : 173 ] - Initializing ProtocolHandler ["http-nio-7002"]
2021-06-01 22:57:32.281 - [ INFO  ] [ org.apache.catalina.core.StandardService : 173 ] - Starting service [Tomcat]
2021-06-01 22:57:32.281 - [ INFO  ] [ org.apache.catalina.core.StandardEngine : 173 ] - Starting Servlet engine: [Apache Tomcat/9.0.46]
2021-06-01 22:57:32.371 - [ INFO  ] [ o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] : 173 ] - Initializing Spring embedded WebApplicationContext
2021-06-01 22:57:32.719 - [ INFO  ] [ c.a.d.s.b.a.DruidDataSourceAutoConfigure : 56 ] - Init DruidDataSource
2021-06-01 22:57:32.971 - [ INFO  ] [ com.alibaba.druid.pool.DruidDataSource : 990 ] - {dataSource-1} inited
2021-06-01 22:57:33.294 - [ INFO  ] [ org.apache.coyote.http11.Http11NioProtocol : 173 ] - Starting ProtocolHandler ["http-nio-7002"]
2021-06-01 22:57:33.331 - [ INFO  ] [ c.a.cloud.nacos.registry.NacosServiceRegistry : 75 ] - nacos registry, DEFAULT_GROUP lk-business 192.168.1.47:7002 register finished
2021-06-01 22:57:33.344 - [ INFO  ] [ com.lucky.kali.business.BusinessApplication : 61 ] - Started BusinessApplication in 2.631 seconds (JVM running for 3.412)
2021-06-01 22:58:01.082 - [ INFO  ] [ o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] : 173 ] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-06-01 23:04:49.269 - [ INFO  ] [ com.lucky.kali.business.BusinessApplication : 55 ] - Starting BusinessApplication using Java 1.8.0_281 on ElliotsMacBook-Pro.local with PID 55885 (/Volumes/Application/Java/IDEA-WorkSpace/demo/SpringCloudFormework/lk-business/target/classes started by elliot in /Volumes/Application/Java/IDEA-WorkSpace/demo/SpringCloudFormework)
2021-06-01 23:04:49.272 - [ DEBUG ] [ com.lucky.kali.business.BusinessApplication : 56 ] - Running with Spring Boot v2.5.0, Spring v5.3.7
2021-06-01 23:04:49.272 - [ INFO  ] [ com.lucky.kali.business.BusinessApplication : 667 ] - The following profiles are active: local
2021-06-01 23:04:50.452 - [ WARN  ] [ org.mybatis.spring.mapper.ClassPathMapperScanner : 44 ] - No MyBatis mapper was found in '[com/lucky/kali/business/mapper]' package. Please check your configuration.
2021-06-01 23:04:50.949 - [ INFO  ] [ org.apache.coyote.http11.Http11NioProtocol : 173 ] - Initializing ProtocolHandler ["http-nio-7002"]
2021-06-01 23:04:50.950 - [ INFO  ] [ org.apache.catalina.core.StandardService : 173 ] - Starting service [Tomcat]
2021-06-01 23:04:50.951 - [ INFO  ] [ org.apache.catalina.core.StandardEngine : 173 ] - Starting Servlet engine: [Apache Tomcat/9.0.46]
2021-06-01 23:04:51.071 - [ INFO  ] [ o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] : 173 ] - Initializing Spring embedded WebApplicationContext
2021-06-01 23:04:51.522 - [ INFO  ] [ c.a.d.s.b.a.DruidDataSourceAutoConfigure : 56 ] - Init DruidDataSource
